8206325,complete ratio: [0.93271462 0.80606061 0.5136612 ], critic loss: 24.239042032571486, actor loss: 1.060442184892257
load ratio std: 0.0877756007680884, task latency mean: 19.68658952452605,complete ratio: [0.95100223 0.75337838 0.51707317], critic loss: 24.49691805432071, actor loss: 0.026799749538538052
load ratio std: 0.08304331579058834, task latency mean: 20.787137680206172,complete ratio: [0.95661605 0.69023569 0.53191489], critic loss: 23.973860274880334, actor loss: 3.7320191938560243
load ratio std: 0.08622777101183209, task latency mean: 19.891787298373043,complete ratio: [0.96428571 0.7862069  0.53439153], critic loss: 22.630635647946622, actor loss: 3.1526137998674577
load ratio std: 0.09608119612976873, task latency mean: 20.480259934156905,complete ratio: [0.96478873 0.70192308 0.58638743], critic loss: 23.39023227630515, actor loss: 5.6455288347631
load ratio std: 0.08521972944954742, task latency mean: 20.241193128160507,complete ratio: [0.92889908 0.73289902 0.59139785], critic loss: 24.14725511966451, actor loss: 4.750436378629174
load ratio std: 0.0780365361722382, task latency mean: 19.386001610286694,complete ratio: [0.90639269 0.86824324 0.50515464], critic loss: 24.382933965872212, actor loss: 4.284423580629148
load ratio std: 0.11490117250866023, task latency mean: 19.067872606091424,complete ratio: [0.9707113  0.77142857 0.45408163], critic loss: 24.246683772460074, actor loss: 3.3040404981471996
load ratio std: 0.08760355483143752, task latency mean: 21.069542920037122,complete ratio: [0.9287257  0.71753247 0.51904762], critic loss: 24.227996187440095, actor loss: 1.7269498785032038
load ratio std: 0.08448995004990074, task latency mean: 19.254036444692296,complete ratio: [0.94369369 0.75675676 0.55092593], critic loss: 24.585434988876997, actor loss: 1.7505804567648304
load ratio std: 0.0886676265400208, task latency mean: 20.875436826733598,complete ratio: [0.94408602 0.67586207 0.60465116], critic loss: 24.675196823819295, actor loss: 3.141013753707052
load ratio std: 0.08324549035653696, task latency mean: 19.38266296214959,complete ratio: [0.94292237 0.80398671 0.45812808], critic loss: 23.918471260283944, actor loss: 3.061066683075683
load ratio std: 0.07973957532214979, task latency mean: 21.628007425765084,complete ratio: [0.94954128 0.7883959  0.41025641], critic loss: 26.20587192606639, actor loss: 4.627111662681995
load ratio std: 0.15889382371256525, task latency mean: 20.769298097275787,complete ratio: [0.93110647 0.79298246 0.46703297], critic loss: 24.828490882473197, actor loss: 5.65473953503558
load ratio std: 0.0826603112536708, task latency mean: 19.050439642358146,complete ratio: [0.97228145 0.83050847 0.36619718], critic loss: 26.927001698805736, actor loss: 3.515086641439938
load ratio std: 0.07846005614126667, task latency mean: 20.73250067853978,complete ratio: [0.93555556 0.82315113 0.45132743], critic loss: 24.625192758719727, actor loss: 1.9844519021636562
load ratio std: 0.07553048065772408, task latency mean: 20.091884635485354,complete ratio: [0.91928251 0.76610169 0.51052632], critic loss: 25.312032408775963, actor loss: 3.074900657082863
load ratio std: 0.07945556350598924, task latency mean: 21.43055136087603,complete ratio: [0.90625    0.79861111 0.52173913], critic loss: 23.97313235976698, actor loss: 6.466986526710467
load ratio std: 0.15939957924631878, task latency mean: 18.20533826182154,complete ratio: [0.89082969 0.78730159 0.54123711], critic loss: 23.972073590791986, actor loss: 3.340537226088786
load ratio std: 0.07919148703444942, task latency mean: 17.89684717208284,complete ratio: [0.90611354 0.80821918 0.63157895], critic loss: 24.068467164309858, actor loss: 1.7904496855367769
load ratio std: 0.15987848312107975, task latency mean: 19.072354294240377,complete ratio: [0.94927536 0.75796178 0.4954955 ], critic loss: 22.246776383307743, actor loss: 0.549001786581578
load ratio std: 0.08727843853332053, task latency mean: 17.892597841866554,complete ratio: [0.95337995 0.77777778 0.61202186], critic loss: 24.375145641391867, actor loss: 0.2565948624800661
load ratio std: 0.08619361574342901, task latency mean: 18.68611322978034,complete ratio: [0.94701987 0.76129032 0.53684211], critic loss: 24.22325677390939, actor loss: -0.4927037804608645
load ratio std: 0.07598049363387767, task latency mean: 20.133641201855866,complete ratio: [0.96534653 0.75778547 0.4741784 ], critic loss: 25.688599121260797, actor loss: 0.03413225227897434
load ratio std: 0.09166645874764272, task latency mean: 17.583626011577945,complete ratio: [0.96912114 0.80479452 0.56097561], critic loss: 23.937777893540755, actor loss: -0.021977455424300275
load ratio std: 0.1120827635559728, task latency mean: 20.82803876013384,complete ratio: [0.96112311 0.65384615 0.49484536], critic loss: 23.765233622195456, actor loss: 1.8050831414669015
load ratio std: 0.11953347003973307, task latency mean: 18.788927160161442,complete ratio: [0.85587583 0.84394904 0.59776536], critic loss: 23.79865344140868, actor loss: 0.20573649057404425
load ratio std: 0.11496740090954556, task latency mean: 21.67516691268636,complete ratio: [0.92465753 0.76491228 0.50970874], critic loss: 24.708730618571852, actor loss: 2.42730197201994
load ratio std: 0.078290642490124, task latency mean: 20.507855015889014,complete ratio: [0.94360087 0.79461279 0.48469388], critic loss: 25.049078713137032, actor loss: 3.0069434148646685
load ratio std: 0.08549186007219635, task latency mean: 20.831362483869068,complete ratio: [0.91156463 0.75585284 0.52020202], critic loss: 27.270341501999525, actor loss: 6.055132478642874
load ratio std: 0.07929512185532367, task latency mean: 20.887017746172052,complete ratio: [0.91503268 0.78547855 0.48636364], critic loss: 27.124321435158002, actor loss: 6.750315544538694
load ratio std: 0.1168062075424179, task latency mean: 21.203897989404965,complete ratio: [0.94103774 0.74237288 0.47263682], critic loss: 28.793651380227004, actor loss: 4.402101654840481
load ratio std: 0.08620023337501695, task latency mean: 18.82497607005791,complete ratio: [0.96732026 0.78571429 0.6010101 ], critic loss: 28.1664656504881, actor loss: 2.1899731548564
load ratio std: 0.08515623844544837, task latency mean: 18.42662630482368,complete ratio: [0.90666667 0.81907895 0.53684211], critic loss: 27.338649294973827, actor loss: 0.8802947455048515
load ratio std: 0.34342078092241807, task latency mean: 17.769776440947137,complete ratio: [0.93918919 0.82033898 0.54634146], critic loss: 26.02593677877105, actor loss: -0.21497777132457968
load ratio std: 0.11415087864037782, task latency mean: 19.4707885232722,complete ratio: [0.96585366 0.71331058 0.66145833], critic loss: 24.786477592427953, actor loss: 0.43660317049285435
